date,bin_id,y_true,y_pred,collect_true,collect_pred
2025-04-25,0,0.8188379068912918,0.6667508070614232,1,1
2025-04-26,0,0.1230886289539311,0.3959243620963878,0,0
2025-04-27,0,0.753617414823165,0.632766386528911,0,0
2025-04-28,0,1.271794623702307,0.4262471716149835,1,1
2025-04-29,0,1.5,0.6594008400122214,1,1
2025-04-25,1,0.0889930059578947,0.5988407276686862,0,0
2025-04-26,1,0.950619452334489,0.5234326415026359,1,1
2025-04-27,1,1.5,0.5082427093121049,1,1
2025-04-28,1,0.0852776593452745,0.6778585797452592,0,0
2025-04-29,1,0.8126332351330188,0.6562358261696355,1,1
2025-04-25,2,0.0518874758567775,0.4982582271224688,0,0
2025-04-26,2,0.6416517563617382,0.6226240688321232,0,0
2025-04-27,2,0.0768451634014214,0.4827902596278203,0,0
2025-04-28,2,0.6208417983460377,0.640970952977545,0,0
2025-04-29,2,1.125054086545087,0.5387376534988999,1,1
2025-04-25,3,0.8364129329069298,0.7345781843191377,1,1
2025-04-26,3,0.1629233440301763,0.5973968478468078,0,0
2025-04-27,3,0.8425951630801247,0.6110906338903672,1,1
2025-04-28,3,0.1854857823406726,0.5380323863276292,0,0
2025-04-29,3,0.780267174810727,0.6536005455479328,0,0
2025-04-25,4,0.9180175726345678,0.6828295122723971,1,1
2025-04-26,4,1.5,0.5334497050558118,1,1
2025-04-27,4,1.5,0.6559362331783577,1,1
2025-04-28,4,0.1995494052753988,0.6757957392382475,0,0
2025-04-29,4,0.8374578316126613,0.6535955613671083,1,1
2025-04-25,5,0.1728128694105872,0.61988963304131,0,0
2025-04-26,5,0.1781155567511045,0.5709001013730594,0,0
2025-04-27,5,0.8965331533754368,0.4798151960652884,1,1
2025-04-28,5,0.1101113622828104,0.6163395977846303,0,0
2025-04-29,5,0.8248910619670862,0.6841156223303972,1,1
2025-04-25,6,0.1509910920181074,0.4924815832931002,0,0
2025-04-26,6,0.8718078146705517,0.7055723237718421,1,1
2025-04-27,6,0.0710650050795194,0.4054744661098612,0,0
2025-04-28,6,0.6365843942828874,0.7008063528491442,0,0
2025-04-29,6,1.265248675224224,0.5908632851913146,1,1
2025-04-25,7,0.0600031542777154,0.4693998648056849,0,0
2025-04-26,7,0.8231420921369442,0.6861820729070495,1,1
2025-04-27,7,0.1047012422439748,0.5002022216568761,0,0
2025-04-28,7,0.7220336014970755,0.6691145181130117,0,0
2025-04-29,7,1.3778856878253922,0.5472385417899764,1,1
2025-04-25,8,0.0853769903481929,0.5946696163216418,0,0
